14/09/1913,Russia,Norway,1,1,Friendly,Moscow,Russia
21/09/1913,Chile,Argentina,0,2,Friendly,Vií±a del Mar,Chile
05/10/1913,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden
05/10/1913,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay
26/10/1913,Germany,Denmark,1,4,Friendly,Hamburg,Germany
26/10/1913,Hungary,Austria,4,3,Friendly,Budapest,Hungary
26/10/1913,Norway,Sweden,1,1,Friendly,Kristiania,Norway
26/10/1913,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay
02/11/1913,Belgium,Switzerland,2,0,Friendly,Verviers,Belgium
23/11/1913,Belgium,Germany,6,2,Friendly,Antwerp,Belgium
11/01/1914,Italy,Austria,0,0,Friendly,Milan,Italy
19/01/1914,Wales,Northern Ireland,1,2,British Championship,Wrexham,Wales
25/01/1914,France,Belgium,4,3,Friendly,Lille,France
08/02/1914,Luxembourg,France,5,4,Friendly,Luxembourg,Luxembourg
14/02/1914,England,Northern Ireland,0,3,British Championship,Middlesbrough,England
28/02/1914,Scotland,Wales,0,0,British Championship,Glasgow,Scotland
08/03/1914,France,Switzerland,2,2,Friendly,Saint-Ouen,France
14/03/1914,Northern Ireland,Scotland,1,1,British Championship,Belfast,Ireland
15/03/1914,Belgium,Netherlands,2,4,Friendly,Antwerp,Belgium
16/03/1914,Wales,England,0,2,British Championship,Cardiff,Wales
29/03/1914,Italy,France,2,0,Friendly,Turin,Italy
05/04/1914,Italy,Switzerland,1,1,Friendly,Genoa,Italy
05/04/1914,Netherlands,Germany,4,4,Friendly,Amsterdam,Netherlands
26/04/1914,Netherlands,Belgium,4,2,Friendly,Amsterdam,Netherlands
03/05/1914,Austria,Hungary,2,0,Friendly,Vienna,Austria
17/05/1914,Denmark,Netherlands,4,3,Friendly,Copenhagen,Denmark
17/05/1914,Switzerland,Italy,0,1,Friendly,Berne,Switzerland
24/05/1914,Sweden,Finland,4,3,Friendly,Solna,Sweden
31/05/1914,Hungary,France,5,1,Friendly,Budapest,Hungary
21/06/1914,Sweden,Hungary,1,1,Friendly,Solna,Sweden
28/06/1914,Norway,Sweden,0,1,Friendly,Kristiania,Norway
05/07/1914,Sweden,Russia,2,2,Friendly,Solna,Sweden
12/07/1914,Norway,Russia,1,1,Friendly,Kristiania,Norway
30/08/1914,Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay
13/09/1914,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina
20/09/1914,Argentina,Brazil,3,0,Friendly,Buenos Aires,Argentina
27/09/1914,Argentina,Brazil,0,1,Copa Roca,Buenos Aires,Argentina
04/10/1914,Hungary,Austria,2,2,Friendly,Budapest,Hungary
25/10/1914,Sweden,Norway,7,0,Friendly,Solna,Sweden
08/11/1914,Austria,Hungary,1,2,Friendly,Vienna,Austria
31/01/1915,Italy,Switzerland,3,1,Friendly,Turin,Italy
02/05/1915,Hungary,Austria,2,5,Friendly,Budapest,Hungary
30/05/1915,Austria,Hungary,1,2,Friendly,Vienna,Austria
06/06/1915,Denmark,Sweden,2,0,Friendly,Copenhagen,Denmark
27/06/1915,Norway,Sweden,1,1,Friendly,Kristiania,Norway
18/07/1915,Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo,Montevideo,Uruguay
15/08/1915,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina
12/09/1915,Uruguay,Argentina,2,0,Copa Newton,Montevideo,Uruguay
19/09/1915,Denmark,Norway,8,1,Friendly,Copenhagen,Denmark
03/10/1915,Austria,Hungary,4,2,Friendly,Vienna,Austria
24/10/1915,Sweden,Norway,5,2,Friendly,Stockholm,Sweden
31/10/1915,Sweden,Denmark,0,2,Friendly,Stockholm,Sweden
07/11/1915,Hungary,Austria,6,2,Friendly,Budapest,Hungary
